"channel","title","body","url","date","note"
"요즘IT","일본 IT 기업의 HR 담당자가 AI로 업무를 혁신한 방법","HR 담당자가 직접 AI로 직원 상담을 준비하고, 매일 아침 슬랙으로 AI 뉴스를 받도록 하며, 급여 데이터 자동화까지 구축한다면 어떨까요? 이렇게 AI를 업무 전반에 적극 녹여내며 일하는, 일본 IT 기업 클래스메소드(Classmethod)의 HR 담당자 박동현 님을 만났습니다. 동현 님은 스레드(Threads)에서 일본 AI 동향과 기업 사례를 꾸준히 공유하며, 한국 팔로워들에게도 신선한 인사이트를 전달하고 있는데요. HR이라는 직군의 경계를 넘어, AI를 누구보다 능동적으로 활용하고 있는 박동현님의 이야기를 직접 들어봤습니다.","https://yozm.wishket.com/magazine/detail/3759/","","본문 요약(og:description)"
"요즘IT","[클코나잇 2] 세미나 OPEN! 클로드 코드를 내 방식으로 길들인 사람들","요즘 클로드 코드(Claude Code), 어떻게 쓰고 계신가요? 아마 많은 분들이 체감하고 계실 겁니다. 클로드 코드의 등장 이후, 이제는 개발자와 비개발자의 구분 없이 각자의 업무에 맞게 AI를 활용한다는 걸 말이죠. 본인만의 워크플로우를 만들고, 반복 업무를 자동화하며, 업무 생산성을 높이는 방식도 점점 다양해지고 있고요. 이제 중요한 질문은 AI를 “쓸 줄 아느냐”를 넘어 내 업무 방식에 맞게 어떻게 길들이고, 실제 워크플로우 안에 어떻게 녹여낼 것인가입니다. 그래서 요즘IT에서 “클코나잇 시즌 2”를 준비했습니다. 이번 시즌 2에서는 직접 부딪히며 클로드 코드를 자기 방식으로 다듬어온 사람들의 경험, 그리고 그 과정에서 얻은 실질적인 시행착오를 나눌 예정입니다.","https://yozm.wishket.com/magazine/detail/3757/","","본문 요약(og:description)"
"요즘IT","11명의 바이브 코더와 함께 사내 플랫폼 만들어봤습니다","""개발자가 비개발자의 바이브 코딩을 옆에서 보며 느낀 점""이라는 글을 쓰고 나서, 개발자로서 자연스럽게 다음 질문이 떠올랐습니다. “그럼 비개발자가 못 하는 부분을 아예 플랫폼이 대신해주면, 서비스는 완성될 수 있는 것 아닌가?” 처음에는 막연했습니다. 그런데 사내에서 “나도 뭐 만들어보고 싶다”는 팀원들이 한둘씩 나오기 시작했습니다. 비슷한 시점에 전자결재, 근태관리, 평가 관리처럼 그동안 따로따로 외주로 맡겨왔던 사내 시스템을 한곳에 모아보면 어떻겠냐는 이야기도 나왔고요. 오늘은 그 플랫폼을 만들면서 부딪힌 문제들, 그리고 그 과정에서 “개발자의 역할”에 대해 다시 생각하게 된 이야기를 해보려 합니다.","https://yozm.wishket.com/magazine/detail/3758/","","본문 요약(og:description)"
"요즘IT","‘쓸수록 나아진다’는 그 AI, Hermes Agent 제대로 알아보기","올해 전 세계 토큰 사용량 1위는 에이전트 서비스 Openclaw가 굳건하게 차지하고 있었는데요, 5월 10일 그 순위가 바뀌었습니다. 새로 왕좌를 차지한 건, AI 에이전트 서비스 Hermes Agent입니다. 이 에이전트에 따라 붙는 표현이 있는데요. self-improving입니다. 풀어 쓰면 쓸수록 나아지는 도구란 거죠. 오늘은 그 소문의 도구를 살펴보려고 합니다. Hermes Agent라는 에이전트 서비스가 어떤 도구인지, self-improving이란 메커니즘은 코드 안에 어떻게 들어가 있는지, 실제로 깔아 쓰려면 무엇을 해야 하는지 정리했습니다. 공식 문서와 GitHub 저장소 기준, 주요 커뮤니티들 반응 기준으로 찾아왔습니다.","https://yozm.wishket.com/magazine/detail/3756/","","본문 요약(og:description)"
"요즘IT","GEO 성과 측정법: 최종 KPI 말고 '전조 증상'을 봐야 하는 이유","GEO 시대, AI 가시성 한 줄로 KPI를 잡아도 괜찮을까요? 서치나인 양용준 대표가 7년의 SEO·GEO 컨설팅 경험을 바탕으로, 최종 성과가 아닌 '전조 증상'을 읽는 법을 제안합니다. 인용률을 전조 KPI로 봐야 하는 이유, 브랜드 키워드 오가닉 유입과 AI 크롤러 로그 분석법, 서드파티 툴의 한계와 자체 측정 환경 설계까지. R사 피부과 실사례와 체인시프트 인용 데이터, 그리고 GPT가 지금도 인용하는 2023년 GSC 가이드 사례를 함께 짚었습니다. 5월 21일 <GEO 팩트체크 세미나> 발표자가 사전 가이드로 보낸 원고입니다.","https://yozm.wishket.com/magazine/detail/3754/","","본문 요약(og:description)"
"요즘IT","타입스크립트 타입, 꼭 새로 만들어야 할까?","타입스크립트로 프로젝트를 하다 보면, 기존에 정의해둔 타입을 조금만 바꿔서 쓰고 싶은 순간이 자주 찾아옵니다. 회원 정보 타입에서 비밀번호 필드만 빼고 싶을 때, 모든 필드를 선택적으로 바꿔서 수정 폼에 쓰고 싶을 때, 이미 정의된 타입에서 몇 개의 필드만 골라 목록 화면용 타입을 만들고 싶을 때 등이 대표적입니다. 타입스크립트는 이런 상황을 위해 유틸리티 타입(Utility Types)을 기본으로 제공합니다. 기존 타입을 입력으로 받아 일부를 골라내거나, 제외하거나, 선택적으로 바꿔주는 내장 도구들입니다. 이번 글에서는 그중에서도 실무에서 가장 자주 쓰이는 대표 유틸리티 타입 다섯 가지 Partial, Required, Pick, Omit, Record에 집중해서 살펴보겠습니다.","https://yozm.wishket.com/magazine/detail/3760/","","본문 요약(og:description)"
"요즘IT","바이브 코딩의 진짜 시작은 이제부터다","꽤 그럴듯한 환상이었습니다. 아이디어를 설명하면 AI가 코드를 만들어줍니다. 프로젝트에 붙여 넣고 브라우저를 새로고침하면, 앱이 돌아갑니다. CS 학위도, Stack Overflow를 뒤질 일도, 새벽 2시에 디버깅할 일도 없었죠. 바이브만 있으면 됐습니다. 이 환상에는 이름도 있었습니다. 바이브 코딩(vibe coding)입니다. 모든 줄을 이해하지 못해도 AI가 생성한 코드를 그대로 받아들이는, ""바이브에 완전히 몸을 맡기는"" 개발 방식을 뜻했습니다. Collins 사전은 이 단어를 2025년 올해의 단어로 선정하기도 했죠. 그리고 14개월이 지난 지금, 후폭풍이 오고 있습니다.","https://yozm.wishket.com/magazine/detail/3746/","","본문 요약(og:description)"
"요즘IT","AI를 잘 쓰는 기획자는 왜 질문부터 다를까?","한때는 AI를 많이 쓸수록 일이 빨라질 줄 알았다. 그런데 실제로는 반대인 순간이 많았다. 답을 받는 시간보다 그 답을 고치고, 의심하고, 다시 묻는 시간이 더 길어졌다. 여러 AI를 병렬로 돌려보면서 내린 결론은 단순했다. 문제는 AI의 성능이 아니라, 내가 처음 던진 질문의 전제에 있었다. 서비스 기획 실무에서 더 위험한 것은 AI의 오답보다 이런 순간이다. 정리형 질문이 변화형 질문을 밀어내는 순간. 구조를 묻기 전에 변화를 보지 못하고, 설명을 요구하느라 전제를 점검하지 못하는 순간이다. 특히 낯선 시장을 이해해야 하거나, 새로운 서비스를 정의해야 하거나, 경쟁사 프레임을 다시 짜야 하는 업무에서는 이 차이가 치명적이다. 초반 질문이 잘못되면 이후 산출물 전체가 그 방향을 따라가기 때문이다.","https://yozm.wishket.com/magazine/detail/3737/","","본문 요약(og:description)"
"요즘IT","YC가 이번 여름에 투자하고 싶은 스타트업 아이디어 15가지","ChatGPT 기본 모델이 GPT-5.5 Instant로 바뀌면서 할루시네이션이 52.5% 줄고 Memory Sources가 추가됐습니다. X에서 화제인 프롬프트를 실시간 추적하는 YouMind, 그리고 YC가 올 여름 투자하고 싶은 스타트업 아이디어 15가지까지. 이번 주 프로덕트 메이커가 주목해야 할 세 가지를 정리했습니다.","https://yozm.wishket.com/magazine/detail/3745/","","본문 요약(og:description)"
"요즘IT","스프링 부트(Spring Boot)는 왜 아직도 살아남았을까?","기술 세계는 정말 빨리 바뀝니다. 어제까지 뜨겁던 기술이 몇 년 뒤에는 조용해지고, 또 다른 이름의 프레임워크가 등장합니다. 그래서 백엔드를 처음 공부하는 분들은 종종 이렇게 생각합니다. “스프링은 너무 오래된 거 아닌가?” 저도 처음에는 비슷했습니다. 처음 스프링 프로젝트를 열었을 때 느낀 인상은 솔직히 무겁고, 복잡하고, 파일도 많고, 구조도 딱딱하다는 쪽에 가까웠습니다. 그런데 이상하게도 한국에서 일할 때도 스프링을 봤고, 일본에서 일할 때도 또 스프링을 봤습니다. 더 흥미로웠던 건 단순히 예전부터 쓰던 기술이라서 남아 있는 게 아니라는 점이었습니다.","https://yozm.wishket.com/magazine/detail/3744/","","본문 요약(og:description)"
